,mean_loss ± std,mean_win ± std
Score,25.6 ± 18.54,28.91 ± 24.55
Possession - Overall,50.94 ± 7.29,49.3 ± 7.49
Possession - 1st half,50.09 ± 9.13,50.0 ± 9.91
Possession - 2nd half,51.79 ± 10.14,48.62 ± 10.01
Tries,3.09 ± 2.92,3.7 ± 3.84
Conversions,2.43 ± 2.58,2.89 ± 3.4
Penalties,1.64 ± 1.67,1.45 ± 1.49
Metres,452.23 ± 178.1,491.62 ± 201.17
Defenders Beaten,23.04 ± 10.91,24.91 ± 11.54
Clean breaks,5.72 ± 4.22,7.38 ± 5.4
Gain line Carries,58.21 ± 20.2,60.02 ± 20.63
Passes,142.68 ± 55.14,140.6 ± 41.33
Offloads,6.51 ± 4.55,7.36 ± 4.87
Turnovers won,5.85 ± 2.41,5.81 ± 2.53
Kicks from Hand,24.85 ± 8.6,24.64 ± 8.22
Rucks Won,76.21 ± 21.6,75.11 ± 21.38
Tackles Made,122.36 ± 31.75,134.45 ± 41.96
Tackles Missed,23.28 ± 12.28,23.83 ± 9.81
Goal Kicks Successful,4.06 ± 2.67,4.34 ± 3.11
Goal Kicks Attempted,5.26 ± 2.89,5.66 ± 3.29
Rucks Successful,76.21 ± 21.6,75.11 ± 21.38
Total Rucks,79.85 ± 21.95,78.57 ± 21.45
Lineouts Successful,11.55 ± 4.27,11.13 ± 3.7
Lineouts Thrown,13.64 ± 4.46,13.21 ± 3.78
Scrums Successful,5.64 ± 2.52,5.81 ± 2.37
Scrums Total,7.47 ± 3.06,7.04 ± 2.62
Penalties Conceded Own Half,5.28 ± 2.37,5.85 ± 2.27
Penalties Conceded Opp Half,4.66 ± 2.09,4.21 ± 1.93
Yellow Cards,0.66 ± 0.76,0.49 ± 0.66
Red Cards,0.09 ± 0.28,0.09 ± 0.28
% Rucks Successful,0.95 ± 0.02,0.95 ± 0.03
% Goal kicks Successful,0.72 ± 0.28,0.72 ± 0.29
% Scrums Successful,0.76 ± 0.17,0.82 ± 0.15
% Tackle Successful,0.85 ± 0.05,0.85 ± 0.06
Outcome,0.0 ± 0.0,1.0 ± 0.0
